metal1,metal2,n_metal1,n_metal2,linker1,linker2,linker3,n_linker1,n_linker2,n_linker3,modulator1,modulator2,n_modulator1,n_modulator2,solvent1,solvent2,solvent3,n_solvent1,n_solvent2,n_solvent3,temperature,time,equip,result,linker1_smiles,linker2_smiles,linker3_smiles,linker1_carboxylate,linker2_carboxylate,linker3_carboxylate,linker1_N_donnor,linker2_N_donnor,linker3_N_donnor,linker1_phosphate,linker2_phosphate,linker3_phosphate,linker1_chelating,linker2_chelating,linker3_chelating,solvent1_smiles,solvent1_type,solvent1_mmol,solvent2_smiles,solvent2_type,solvent2_mmol,solvent3_smiles,solvent3_type,solvent3_mmol,modulator1_smiles,modulator1_type,modulator1_mmol,modulator2_smiles,modulator2_type,modulator2_mmol,linker1_MW,linker2_MW,linker3_MW,linker1_mol,linker2_mol,linker3_mol,metal1_mol,metal2_mol,solvent1_mol,solvent2_mol,solvent3_mol,modulator1_mol,modulator2_mol
Zn(NO3)2·4H2O,,0.1 mmol,,HnIM,IM,HbbIM,0.085 mmol,0.1 mmol,0.4 mmol,,,,,DMF,,,3.425 mL,,,65.0,288.0,1,1,O=N(=O)C1=NC=CN1,N=1C=CNC1,BrC=1C=CC=2NC=NC2C1,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,113.022526336,68.037448128,195.96361026,0.085,0.1,0.4,0.1,,44.25930360424999,,,,
Zn(NO3)2·4H2O,,0.81 mmol,,2-trifluoromethylimidazole,,,0.81 mmol,,,,,,,DMF,,,5 mL,,,125.0,24.0,1,1,FC(F)(F)C1=NC=CN1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,136.024832756,,,0.81,,,0.81,,64.61212205,,,,
Zn(NO3)2·4H2O,,0.22 mmol,,2-methylimidazole,2-trifluoromethylimidazole,,0.22 mmol,0.22 mmol,,,,,,DEF,,,3 mL,,,135.0,48.0,1,1,N=1C=CNC1C,FC(F)(F)C1=NC=CN1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,82.053098192,136.024832756,,0.22,0.22,,0.22,,26.86208601,,,,
Zn(CH3COO)2·2H2O,,8.30 mmol,,imidazole,,,20.0 mmol,,,pyridine,,0.37 mmol,,EtOH,,,30 mL,,,25.0,24.0,2,0,N=1C=CNC1,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,,,,,,,N=1C=CC=CC1,B,12.42376738,,,,68.037448128,,,20.0,,,8.3,,513.7833732,,,0.37,
Zn(NO3)2·6H2O,,3.43 mmol,,imidazole,,,6.86 mmol,,,morpholine,,0.17 mmol,,EtOH,,,10 mL,,,140.0,24.0,2,1,N=1C=CNC1,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,,,,,,,O1CCNCC1,B,11.47922406,,,,68.037448128,,,6.86,,,3.43,,171.2611244,,,0.17,
Cd(CH3COO)2·2H2O,,1.0 mmol,,2-methylimidazole,,,5.0 mmol,,,,,,,n-butanol,,,15 mL,,,120.0,24.0,1,1,N=1C=CNC1C,,,0.0,,,2.0,,,0.0,,,0.0,,,OCCCC,S,10.92552617,,,,,,,,,,,,,82.053098192,,,5.0,,,1.0,,163.88289254999998,,,,
Cd(NO3)2·4H2O,,0.5 mmol,,2-methylimidazole,,,1.0 mmol,,,triethylamine,,0.2 mL,,NMP,,,5 mL,,,25.0,336.0,0,1,N=1C=CNC1C,,,0.0,,,2.0,,,0.0,,,0.0,,,O=C1N(C)CCC1,S,10.36013316,,,,,,,CCN(CC)CC,B,7.169680798,,,,82.053098192,,,1.0,,,0.5,,51.8006658,,,1.4339361596,
Cd(NO3)2·4H2O,,3.6 mmol,,2-methylimidazole,,,7.2 mmol,,,triethylamine,,1.0 mL,,NMP,,,40 mL,,,25.0,46.0,2,0,N=1C=CNC1C,,,0.0,,,2.0,,,0.0,,,0.0,,,O=C1N(C)CCC1,S,10.36013316,,,,,,,CCN(CC)CC,B,7.169680798,,,,82.053098192,,,7.2,,,3.6,,414.4053264,,,7.169680798,
Cd(CH3COO)2·2H2O,,1.0 mmol,,2-methylimidazole,,,5.0 mmol,,,,,,,MeOH,,,15 mL,,,90.0,24.0,1,1,N=1C=CNC1C,,,0.0,,,2.0,,,0.0,,,0.0,,,OC,S,25.28089888,,,,,,,,,,,,,82.053098192,,,5.0,,,1.0,,379.2134832,,,,
Cd(CH3COO)2·2H2O,,2.0 mmol,,2-ethylimidazole,,,10.0 mmol,,,,,,,MeOH,,,20 mL,,,120.0,12.0,1,1,N=1C=CNC1CC,,,0.0,,,2.0,,,0.0,,,0.0,,,OC,S,25.28089888,,,,,,,,,,,,,96.068748256,,,10.0,,,2.0,,505.6179776,,,,
Cd(CH3COO)2·2H2O,,1.0 mmol,,2-methylimidazole,,,5.0 mmol,,,,,,,benzenemethanol,,,15 mL,,,120.0,24.0,1,1,N=1C=CNC1C,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC=1C=CC=CC1,S,9.634732754,,,,,,,,,,,,,82.053098192,,,5.0,,,1.0,,144.52099131,,,,
Cd(CH3COO)2·2H2O,,1 mmol,,Heim,,,2 mmol,,,piperazine,,1 mmol,,EtOH,,,20 mL,,,120.0,60.0,1,1,N=1C=CNC1CC,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,,,,,,,N1CCNCC1,B,12.76990945,,,,96.068748256,,,2.0,,,1.0,,342.5222488,,,1.0,
Cd(NO3)2·4H2O,,0.05 mmol,,Hnim,,,0.2 mmol,,,,,,,DMF,benzenemethanol,,3 mL,3 mL,,100.0,20.0,1,1,O=N(=O)C1=NC=CN1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC=1C=CC=CC1,S,9.634732754,,,,,,,,,,113.022526336,,,0.2,,,0.05,,38.76727323,28.904198262,,,
Cd(ClO4)2·6H2O,,0.05 mmol,,Hnim,,,0.1 mmol,,,,,,,DMF,,,8 mL,,,120.0,72.0,1,1,O=N(=O)C1=NC=CN1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,113.022526336,,,0.1,,,0.05,,103.37939528,,,,
Cd(NO3)2·4H2O,,0.625 mmol,,Hnim,,,1.25 mmol,,,,,,,DMF,,,15 mL,,,120.0,12.0,1,1,O=N(=O)C1=NC=CN1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,113.022526336,,,1.25,,,0.625,,193.83636615,,,,
Cd(NO3)2·4H2O,,0.625 mmol,,Hnim,,,1.25 mmol,,,,,,,DMA,,,15 mL,,,100.0,12.0,1,1,O=N(=O)C1=NC=CN1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=C(N(C)C)C,S,10.75068871,,,,,,,,,,,,,113.022526336,,,1.25,,,0.625,,161.26033065,,,,
Cd(CH3COO)2·2H2O,,1.0 mmol,,Hpim,,,5.0 mmol,,,,,,,EtOH,,,15 mL,,,120.0,24.0,1,1,N=1C=CNC1CCC,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,,,,,,,,,,,,,110.08439832,,,5.0,,,1.0,,256.8916866,,,,
Cd(CH3COO)2·2H2O,,1.0 mmol,,Hbuim,,,5.0 mmol,,,,,,,EtOH,,,15 mL,,,120.0,24.0,1,1,N=1C=CNC1CCCC,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,,,,,,,,,,,,,124.100048384,,,5.0,,,1.0,,256.8916866,,,,
Cd(CH3COO)2·2H2O,,1.0 mmol,,Hphim,,,5.0 mmol,,,,,,,EtOH,,,15 mL,,,120.0,24.0,1,1,N=1C=CNC1C=2C=CC=CC2,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,,,,,,,,,,,,,144.068748256,,,5.0,,,1.0,,256.8916866,,,,
Co(NO3)2·6H2O,,0.2 mmol,,2 nitro imidazole,benzimidazole,,0.3 mmol,0.2 mmol,,,,,,DMF,,,3.5 mL,,,120.0,24.0,1,1,O=N(=O)C1=NC=CN1,N1=CNC=2C=CC=CC12,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,113.022526336,118.053098192,,0.3,0.2,,0.2,,45.228485435,,,,
Co(NO3)2·6H2O,,0.2 mmol,,2 nitro imidazole,5-chlorobenzimidazole,,0.2 mmol,0.6 mmol,,,,,,DMF,,,4 mL,,,120.0,12.0,1,1,O=N(=O)C1=NC=CN1,ClC=1C=CC=2NC=NC2C1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,113.022526336,152.01412584,,0.2,0.6,,0.2,,51.68969764,,,,
Co(NO3)2·6H2O,,0.2 mmol,,2 nitro imidazole,5-bromobenzimidazole,,0.2 mmol,0.4 mmol,,,,,,DMF,,,4 mL,,,120.0,12.0,1,1,O=N(=O)C1=NC=CN1,BrC=1C=CC=2NC=NC2C1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,113.022526336,195.96361026,,0.2,0.4,,0.2,,51.68969764,,,,
Zn(CH3COO)2·2H2O,,118.8 mg,,"5,6-dimethyl-benzimidazole",,,157.6 mg,,,,,,,benzene,2-amino-1-butanol,,3.2 mL,4 mL,,150.0,120.0,1,1,N1=CNC=2C=C(C(=CC12)C)C,,,0.0,,,2.0,,,0.0,,,0.0,,,C=1C=CC=CC1,S,11.24951991,OCC(N)CC,S,10.59344851,,,,,,,,,,146.08439832,,,1.0788284157133257,,,0.5412336190269312,,35.998463712,42.37379404,,,
Co(CH3COO)2·4H2O,,134.8 mg,,"5,6-dimethyl-benzimidazole",,,157.6 mg,,,,,,,benzene,2-amino-1-butanol,,3.2 mL,4 mL,,150.0,120.0,1,0,N1=CNC=2C=C(C(=CC12)C)C,,,0.0,,,2.0,,,0.0,,,0.0,,,C=1C=CC=CC1,S,11.24951991,OCC(N)CC,S,10.59344851,,,,,,,,,,146.08439832,,,1.0788284157133257,,,0.5411934970703286,,35.998463712,42.37379404,,,
Zn(CH3COO)2·2H2O,,0.5367 mmol,,5-methylbenzimidazole,imidazole,,0.5320 mmol,0.6492 mmol,,,,,,benzene,2-amino-1-butanol,,3.6 mL,4 mL,,150.0,120.0,1,1,N1=CNC=2C=CC(=CC12)C,N=1C=CNC1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,C=1C=CC=CC1,S,11.24951991,OCC(N)CC,S,10.59344851,,,,,,,,,,132.068748256,68.037448128,,0.532,0.6492,,0.5367,,40.498271676,42.37379404,,,
Zn(CH3COO)2·2H2O,,0.5294 mmol,,5-methylbenzimidazole,imidazole,,0.5387 mmol,0.6125 mmol,,,,,,benzene,2-amino-1-butanol,,0.4 mL,4 mL,,150.0,144.0,1,1,N1=CNC=2C=CC(=CC12)C,N=1C=CNC1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,C=1C=CC=CC1,S,11.24951991,OCC(N)CC,S,10.59344851,,,,,,,,,,132.068748256,68.037448128,,0.5387,0.6125,,0.5294,,4.499807964,42.37379404,,,
Zn(CH3COO)2·2H2O,,0.5216 mmol,,5-methylbenzimidazole,imidazole,,0.2035 mmol,0.8461 mmol,,3-amino-1-propanol,,4.0 mL,,benzene,3-amino-1-propanol,,2.0 mL,4 mL,,150.0,120.0,1,1,N1=CNC=2C=CC(=CC12)C,N=1C=CNC1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,C=1C=CC=CC1,S,11.24951991,OCCCN,S,13.07948342,,,,OCCCN,S,13.07948342,,,,132.068748256,68.037448128,,0.2035,0.8461,,0.5216,,22.49903982,52.31793368,,52.31793368,
Zn(CH3COO)2·2H2O,,0.5590 mmol,,"5,6-dimethylbenzimidazole",imidazole,,0.5281 mmol,0.8916 mmol,,2-amino-1-butanol,,3.0 mL,,p-xylene,2-amino-1-butanol,,1.0 mL,3 mL,,150.0,120.0,1,1,N1=CNC=2C=C(C(=CC12)C)C,N=1C=CNC1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,C=1C=C(C=CC1C)C,S,8.110012245,OCC(N)CC,S,10.59344851,,,,OCC(N)CC,S,10.59344851,,,,146.08439832,68.037448128,,0.5281,0.8916,,0.559,,8.110012245,31.78034553,,31.780345529999998,
Co(CH3COO)2·4H2O,,0.5147 mmol,,"5,6-dimethylbenzimidazole",imidazole,,0.5486 mmol,0.7476 mmol,,,,,,3-amino-1-propanol,,,6.0 mL,,,150.0,120.0,1,1,N1=CNC=2C=C(C(=CC12)C)C,N=1C=CNC1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,OCCCN,S,13.07948342,,,,,,,,,,,,,146.08439832,68.037448128,,0.5486,0.7476,,0.5147,,78.47690052,,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,5-methyltetrazole,2-ethylimidazole,,0.5 mmol,0.5 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,72.0,1,1,N1=NNC(=N1)C,N=1C=CNC1CC,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,84.043596128,96.068748256,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,5-methyltetrazole,2-propylimidazole,,0.5 mmol,0.5 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,72.0,1,1,N1=NNC(=N1)C,N=1C=CNC1CCC,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,84.043596128,110.08439832,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,5-ethyltetrazole,2-ethylimidazole,,0.5 mmol,0.5 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,72.0,1,1,N1=NNC(=N1)CC,N=1C=CNC1CC,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,98.059246192,96.068748256,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,2-ethylimidazole,,,0.5 mmol,,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,72.0,1,0,N=1C=CNC1CC,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,96.068748256,,,0.5,,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.500 mmol,,5-mtz,2-mbim,,0.500 mmol,0.500 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,48.0,1,1,N1=NNC(=N1)C,N=1C=2C=CC=CC2NC1C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,84.043596128,132.068748256,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.500 mmol,,tz,2-mbim,,0.500 mmol,0.500 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,48.0,1,1,N=1N=CNN1,N=1C=2C=CC=CC2NC1C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,70.02794606399999,132.068748256,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.500 mmol,,2-methylimidazole,5-methyltetrazole,,0.500 mmol,0.500 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,48.0,1,1,N=1C=CNC1C,N1=NNC(=N1)C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,82.053098192,84.043596128,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(NO3)2·6H2O,,0.500 mmol,,2-methylimidazole,,,0.500 mmol,,,HNO3,,0.01 mL,,DMF,,,3 mL,,,120.0,48.0,1,1,N=1C=CNC1C,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=N(=O)O,A,24.59926996,,,,82.053098192,,,0.5,,,0.5,,38.76727323,,,0.2459926996,
Zn(CH3COO)2·2H2O,,0.5 mmol,,5-ethyltetrazole,2-methylimidazole,,0.5 mmol,0.5 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,72.0,1,1,N1=NNC(=N1)CC,N=1C=CNC1C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,98.059246192,82.053098192,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,5-vinyltetrazole,2-methylimidazole,,0.5 mmol,0.5 mmol,,,,,,DMF,EtOH,,2 mL,2 mL,,120.0,72.0,1,1,N1=NNC(=N1)C=C,N=1C=CNC1C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,,,,,,,,,,96.043596128,82.053098192,,0.5,0.5,,0.5,,25.84484882,34.25222488,,,
Zn(NO3)2·6H2O,,0.25 mmol,,tetrazole,2-nitroimidazole,,0.10 mmol,0.40 mmol,,,,,,Ethylene Glycol,,,2 mL,,,120.0,24.0,1,1,N=1N=CNN1,O=N(=O)C1=NC=CN1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,OCCO,S,17.93942323,,,,,,,,,,,,,70.02794606399999,113.022526336,,0.1,0.4,,0.25,,35.87884646,,,,
Zn(NO3)2·6H2O,,0.25 mmol,,5-phenyl-1H-tetrazole,2-nitroimidazole,,0.125 mmol,0.375 mmol,,,,,,Ethylene Glycol,,,2 mL,,,120.0,48.0,1,1,N1=NNC(=N1)C=2C=CC=CC2,O=N(=O)C1=NC=CN1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,OCCO,S,17.93942323,,,,,,,,,,,,,146.059246192,113.022526336,,0.125,0.375,,0.25,,35.87884646,,,,
Zn(NO3)2·6H2O,,0.25 mmol,,5-(Ethylthio)-1H-tetrazole,2-nitroimidazole,,0.25 mmol,0.25 mmol,,,,,,Ethylene Glycol,,,2 mL,,,120.0,48.0,1,1,N1=NNC(=N1)SCC,O=N(=O)C1=NC=CN1,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,OCCO,S,17.93942323,,,,,,,,,,,,,130.03131719200002,113.022526336,,0.25,0.25,,0.25,,35.87884646,,,,
Zn(NO3)2·6H2O,,0.500 mmol,,tz,Dmbim,,0.500 mmol,0.500 mmol,,,,,,DMF,,,4 mL,,,120.0,48.0,1,1,N=1N=CNN1,N1=CNC=2C=C(C(=CC12)C)C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,70.02794606399999,146.08439832,,0.5,0.5,,0.5,,51.68969764,,,,
Zn(NO3)2·6H2O,,0.500 mmol,,5-atz,Dmbim,,0.500 mmol,0.500 mmol,,,,,,DMF,,,4 mL,,,120.0,48.0,1,1,N1=NNC(=N1)N,N1=CNC=2C=C(C(=CC12)C)C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,85.038845096,146.08439832,,0.5,0.5,,0.5,,51.68969764,,,,
Zn(NO3)2·6H2O,,0.500 mmol,,5-mtz,Dmbim,,0.500 mmol,0.500 mmol,,,,,,DMA,,,4 mL,,,120.0,48.0,1,1,N1=NNC(=N1)C,N1=CNC=2C=C(C(=CC12)C)C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=C(N(C)C)C,S,10.75068871,,,,,,,,,,,,,84.043596128,146.08439832,,0.5,0.5,,0.5,,43.00275484,,,,
Zn(NO3)2·6H2O,,0.500 mmol,,5-ethylthiotrazole," 5,6-methylbenzimdazole",,0.500 mmol,0.500 mmol,,,,,,2-imidazolidinone,,,1.200 g,,,120.0,48.0,1,1,N1=NNC(=N1)SCC,N1=CNC=2C=C(C(=CC12)C)C,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,O=C1NCCN1,S,12.93994657,,,,,,,,,,,,,130.03131719200002,146.08439832,,0.5,0.5,,0.5,,15.527935884,,,,
Zn(NO3)2·6H2O,,0.075 mmol,,Tipa,imidazole,,0.05 mmol,0.05 mmol,,triethylamine,,20 uL,,dioxane,H2O,,3.2 mL,0.8 mL,,100.0,72.0,1,1,N=1C=CN(C1)C2=CC=C(C=C2)N(C3=CC=C(C=C3)N4C=NC=C4)C5=CC=C(C=C5)N6C=NC=C6,N=1C=CNC1,,0.0,0.0,,3.0,2.0,,0.0,0.0,,0.0,0.0,,O1CCOCC1,S,11.731926,O,S,55.65649279,,,,CCN(CC)CC,B,7.169680798,,,,443.1858436720001,68.037448128,,0.05,0.05,,0.075,,37.5421632,44.525194232,,0.14339361596,
Zn(NO3)2·6H2O,,0.05 mmol,,Tipa,imidazole,,0.05 mmol,0.04 mmol,,,,,,dioxane,H2O,,3 mL,1 mL,,100.0,72.0,1,1,N=1C=CN(C1)C2=CC=C(C=C2)N(C3=CC=C(C=C3)N4C=NC=C4)C5=CC=C(C=C5)N6C=NC=C6,N=1C=CNC1,,0.0,0.0,,3.0,2.0,,0.0,0.0,,0.0,0.0,,O1CCOCC1,S,11.731926,O,S,55.65649279,,,,,,,,,,443.1858436720001,68.037448128,,0.05,0.04,,0.05,,35.195778,55.65649279,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,R-OH-bim,,,0.5 mmol,,,,,,,EtOH,DMF,,3 mL,3 mL,,120.0,72.0,1,1,OC(C1=NC=2C=CC=CC2N1)C,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,O=CN(C)C,S,12.92242441,,,,,,,,,,162.07931294,,,0.5,,,0.5,,51.37833732,38.76727323,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,S-OH-bim,,,0.5 mmol,,,,,,,EtOH,DMF,,3 mL,3 mL,,120.0,72.0,1,1,OC(C1=NC=2C=CC=CC2N1)C,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,O=CN(C)C,S,12.92242441,,,,,,,,,,162.07931294,,,0.5,,,0.5,,51.37833732,38.76727323,,,
Zn(CH3COO)2·2H2O,,0.5 mmol,,R-OH-bim,,,0.5 mmol,,,HBF4,,0.05 mL,,EtOH,DMF,,3 mL,3 mL,,120.0,72.0,1,1,OC(C1=NC=2C=CC=CC2N1)C,,,0.0,,,2.0,,,0.0,,,0.0,,,OCC,S,17.12611244,O=CN(C)C,S,12.92242441,,,,[H+].[F-][B+3]([F-])([F-])[F-],A,20.95433322,,,,162.07931294,,,0.5,,,0.5,,51.37833732,38.76727323,,1.047716661,
Zn(NO3)2·4H2O,,5.7 mmol,,"2-Bromobenzene-1,4-dicarboxylic acid",,,1.6 mmol,,,,,,,DEF,,,100 mL,,,100.0,40.0,1,1,O=C(O)C1=CC=C(C(=O)O)C(Br)=C1,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,243.93712074,,,1.6,,,5.7,,895.402867,,,,
Zn(NO3)2·4H2O,,11 mmol,,"2-Aminobenzene-1,4-dicarboxylic acid",,,4.1 mmol,,,,,,,DEF,,,100 mL,,,100.0,18.0,1,1,O=C(O)C1=CC=C(C(=O)O)C(N)=C1,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,181.037507704,,,4.1,,,11.0,,895.402867,,,,
Zn(NO3)2·4H2O,,11 mmol,,"1,2-Dihydrocyclobutabenzene-3,6-dicarboxylic acid",,,5.2 mmol,,,,,,,DEF,,,100 mL,,,100.0,18.0,1,1,O=C(O)C1=CC=C(C(=O)O)C2=C1CC2,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,192.042258736,,,5.2,,,11.0,,895.402867,,,,
Zn(NO3)2·4H2O,,6.9 mmol,,"4,4′-Biphenyldicarboxylic acid",,,1.2 mmol,,,,,,,DMF,,,100 mL,,,100.0,18.0,1,1,O=C(O)C=1C=CC(=CC1)C2=CC=C(C=C2)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,242.0579088,,,1.2,,,6.9,,1292.242441,,,,
Zn(NO3)2·4H2O,,2.3 mmol,,"Pyrene-2,7-dicarboxylic acid",,,0.34 mmol,,,,,,,DMF,,,100 mL,,,70.0,40.0,1,1,O=C(O)C1=CC2=CC=C3C=C(C=C4C=CC(=C1)C2=C34)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,290.05790879999995,,,0.34,,,2.3,,1292.242441,,,,
Zn(NO3)2·4H2O,,11 mmol,,"Thieno[3,2-b]thiophene-2,5-dicarboxylic acid",,,3.3 mmol,,,,,,,DMF,,,100 mL,,,100.0,18.0,1,1,O=C(O)C=1SC=2C=C(SC2C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,227.955100608,,,3.3,,,11.0,,1292.242441,,,,
Cu(NO3)2·5H2O,,43 mmol,,"Benzene-1,3,5-tricarboxylic acid",,,24 mmol,,,,,,,DMF,EtOH,H2O,83.3 mL,83.3 mL,83.3 mL,85.0,20.0,1,1,O=C(O)C=1C=CC(=CC1)C2=CC(=CC(=C2)C=3C=CC(=CC3)C(=O)O)C=4C=CC(=CC4)C(=O)O,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,O,S,55.65649279,,,,,,,438.1103382959999,,,24.0,,,43.0,,1076.437953353,1426.605166252,4636.185849407,,
Zn(NO3)2·4H2O,,38 mmol,,"2,5-Dihydroxybenzene-1,4-dicarboxylic acid",,,13 mmol,,,,,,,DMF,,,500 mL,,,100.0,20.0,1,1,O=C(O)C1=CC(O)=C(C=C1O)C(=O)O,,,2.0,,,0.0,,,0.0,,,2.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,198.016437912,,,13.0,,,38.0,,6461.212205,,,,
Zn(NO3)2·6H2O,,4 mmol,,"1,4-benzenedicarboxylic acid",,,2 mmol,,,30% H2O2,Triethylamine,0.15 mL,2.3 mL,DMF,,,40 mL,,,25.0,1.0,2,0,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,OO,S,42.41399588,CCN(CC)CC,B,7.169680798,166.026608672,,,2.0,,,4.0,,516.8969764,,,1.9086298146,16.4902658354
